OBJECT_ID,WINDCODES,INDUSTRYCODES
392985496,502013.SH:一带一路|ON0203:基金|ON02:公司,
392985510,L9JRTZp47i:东芝(中国)有限公司|3783:非上市公司|ON02:公司,6245203020:电子制造服务|6245203000:电子设备、仪器和元件|6245200000:技术硬件与设备|6245000000:信息技术|882520.WI:电子制造服务|882253.WI:电子设备、仪器和元件|882120.WI:技术硬件与设备|882008.WI:信息技术|ON0308:Wind行业分类|882446.WI:消费电子产品|882222.WI:家庭耐用消费品|882106.WI:耐用消费品与服装|882004.WI:可选消费|6225201010:消费电子产品|6225201000:家庭耐用消费品|6225200000:耐用消费品与服装|6225000000:可选消费|886062.WI:电子元器件|3727:Wind主题行业|CI005025.WI:电子元器件(中信)|ON0301:中信行业|883003.WI:制造行业(证监会)|ON0303:Wind证监会行业|883106.WI:电子行业(证监会)|886035.WI:家用电器|CI005009.WI:轻工制造(中信)|ON03:行业
392985526,,
392985528,,
392985530,,
392985555,AUFI.WI:沪金|ON0241:Wind商品|NMFI.WI:Wind贵金属|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|AGFI.WI:沪银|CCFI.WI:Wind商品|ON02:公司,6215104030:黄金|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|850531.SI:黄金Ⅲ|801053.SI:黄金Ⅱ|801050.SI:有色金属(申万)|ON0302:申万行业|882415.WI:黄金|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|ON0308:Wind行业分类|882416.WI:贵金属与矿石|6215104040:贵金属与矿石|886011.WI:贵金属|3727:Wind主题行业|886010.WI:基本金属|CI005003.WI:有色金属(中信)|ON0301:中信行业|883107.WI:金属非金属(证监会)|ON0303:Wind证监会行业|883002.WI:采掘行业(证监会)|ON03:行业
392985586,,6255104010:水务|6255104000:水务Ⅲ|6255100000:公用事业Ⅱ|6255000000:公用事业|882531.WI:水务|882261.WI:水务Ⅲ|882123.WI:公用事业Ⅱ|882010.WI:公用事业|ON0308:Wind行业分类|857233.SI:水利工程|801723.SI:基础建设|801720.SI:建筑装饰(申万)|ON0302:申万行业|851621.SI:水务Ⅲ|801164.SI:水务Ⅱ|801160.SI:公用事业(申万)|886067.WI:水务|3727:Wind主题行业|883004.WI:公用事业(证监会)|ON0303:Wind证监会行业|CI005004.WI:电力及公用事业(中信)|ON0301:中信行业|ON03:行业
392985592,,
392985646,502040150:中国海洋石油总公司|378301:发债主体|3783:非上市公司|101451016.IB:14中海油MTN001|1474:企债|1467:所有债券|ON02:公司,850611.SI:玻璃制造Ⅲ|801712.SI:玻璃制造Ⅱ|801710.SI:建筑材料(申万)|ON0302:申万行业|6220201050:环境与设施服务|6220201000:商业服务与用品|6220200000:商业和专业服务|6220000000:工业|882432.WI:环境与设施服务|882214.WI:商业服务与用品|882103.WI:商业和专业服务|882003.WI:工业|ON0308:Wind行业分类|886024.WI:环保|3727:Wind主题行业|883004.WI:公用事业(证监会)|ON0303:Wind证监会行业|883011.WI:社会服务(证监会)|CI005004.WI:电力及公用事业(中信)|ON0301:中信行业|ON03:行业
392981205,FChVlhgnb5:珠海市魅族通讯设备有限公司|3783:非上市公司|ON02:公司,6250101020:综合电信服务|6250101000:多元电信服务|6250100000:电信服务Ⅱ|6250000000:电信服务|882526.WI:综合电信服务|882256.WI:多元电信服务|882122.WI:电信服务Ⅱ|882009.WI:电信服务|ON0308:Wind行业分类|886064.WI:电信|3727:Wind主题行业|CI005026.WI:通信(中信)|ON0301:中信行业|883007.WI:信息技术(证监会)|ON0303:Wind证监会行业|ON03:行业
392985698,000333.SZ:美的集团|ON0201:A股|ON02:公司,
392985713,,6220304020:公路运输|6220304000:公路与铁路运输|6220300000:运输|6220000000:工业|882438.WI:公路运输|882218.WI:公路与铁路运输|882104.WI:运输|882003.WI:工业|ON0308:Wind行业分类|886028.WI:陆路运输|3727:Wind主题行业|886030.WI:公路|883004.WI:公用事业(证监会)|ON0303:Wind证监会行业|883006.WI:交运仓储(证监会)|CI005004.WI:电力及公用事业(中信)|ON0301:中信行业|CI005024.WI:交通运输(中信)|ON03:行业
392989854,AGFI.WI:沪银|ON0241:Wind商品|NMFI.WI:Wind贵金属|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|AUFI.WI:沪金|CCFI.WI:Wind商品|ON02:公司,6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|850313.SI:石油贸易|801035.SI:石油化工|801030.SI:化工(申万)|ON0302:申万行业|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|ON0308:Wind行业分类|882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|6215104030:黄金|850531.SI:黄金Ⅲ|801053.SI:黄金Ⅱ|801050.SI:有色金属(申万)|882415.WI:黄金|886002.WI:石油天然气|3727:Wind主题行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883003.WI:制造行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|ON0301:中信行业|886011.WI:贵金属|886010.WI:基本金属|CI005003.WI:有色金属(中信)|883107.WI:金属非金属(证监会)|ON03:行业
392989859,,
392989874,,6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|850313.SI:石油贸易|801035.SI:石油化工|801030.SI:化工(申万)|ON0302:申万行业|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|ON0308:Wind行业分类|6210101010:石油天然气钻井|6210101000:能源设备与服务|882400.WI:石油天然气钻井|882200.WI:能源设备与服务|886002.WI:石油天然气|3727:Wind主题行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883003.WI:制造行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|ON0301:中信行业|ON03:行业
392989907,502013.SH:一带一路|ON0203:基金|ON02:公司,
392989938,,882516.WI:通信设备|882251.WI:通信设备Ⅲ|882120.WI:技术硬件与设备|882008.WI:信息技术|ON0308:Wind行业分类|6245201020:通信设备|6245201000:通信设备Ⅲ|6245200000:技术硬件与设备|6245000000:信息技术|851012.SI:终端设备|801102.SI:通信设备|801770.SI:通信(申万)|ON0302:申万行业|886060.WI:通信设备|3727:Wind主题行业|CI005026.WI:通信(中信)|ON0301:中信行业|883007.WI:信息技术(证监会)|ON0303:Wind证监会行业|ON03:行业
392989956,,6245101010:互联网软件与服务|6245101000:互联网软件与服务Ⅲ|6245100000:软件与服务|6245000000:信息技术|882510.WI:互联网软件与服务|882248.WI:互联网软件与服务Ⅲ|882119.WI:软件与服务|882008.WI:信息技术|ON0308:Wind行业分类|886058.WI:互联网|3727:Wind主题行业|883007.WI:信息技术(证监会)|ON0303:Wind证监会行业|ON03:行业
392989957,,6225502020:互联网零售|6225502000:互联网与售货目录零售|6225500000:零售业|6225000000:可选消费|882466.WI:互联网零售|882228.WI:互联网与售货目录零售|882109.WI:零售业|882004.WI:可选消费|ON0308:Wind行业分类|886042.WI:零售|3727:Wind主题行业|CI005014.WI:商贸零售(中信)|ON0301:中信行业|883008.WI:商业贸易(证监会)|ON0303:Wind证监会行业|ON03:行业
392989959,AGFI.WI:沪银|ON0241:Wind商品|NMFI.WI:Wind贵金属|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|AUFI.WI:沪金|CCFI.WI:Wind商品|ON02:公司,6255102010:燃气|6255102000:燃气Ⅲ|6255100000:公用事业Ⅱ|6255000000:公用事业|6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|851631.SI:燃气Ⅲ|801163.SI:燃气Ⅱ|801160.SI:公用事业(申万)|ON0302:申万行业|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|ON0308:Wind行业分类|882529.WI:燃气|882259.WI:燃气Ⅲ|882123.WI:公用事业Ⅱ|882010.WI:公用事业|850313.SI:石油贸易|801035.SI:石油化工|801030.SI:化工(申万)|882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|886002.WI:石油天然气|3727:Wind主题行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883003.WI:制造行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|ON0301:中信行业|886066.WI:燃气|883004.WI:公用事业(证监会)|CI005004.WI:电力及公用事业(中信)|886011.WI:贵金属|886010.WI:基本金属|CI005003.WI:有色金属(中信)|883107.WI:金属非金属(证监会)|ON03:行业
392989976,,857421.SI:航空装备Ⅲ|801742.SI:航空装备Ⅱ|801740.SI:国防军工(申万)|ON0302:申万行业|ON03:行业
392989977,,850913.SI:商用载客车|801094.SI:汽车整车|801880.SI:汽车(申万)|ON0302:申万行业|851771.SI:铁路运输Ⅲ|801177.SI:铁路运输Ⅱ|801170.SI:交通运输(申万)|6220304010:铁路运输|6220304000:公路与铁路运输|6220300000:运输|6220000000:工业|882437.WI:铁路运输|882218.WI:公路与铁路运输|882104.WI:运输|882003.WI:工业|ON0308:Wind行业分类|886028.WI:陆路运输|3727:Wind主题行业|883004.WI:公用事业(证监会)|ON0303:Wind证监会行业|883006.WI:交运仓储(证监会)|CI005004.WI:电力及公用事业(中信)|ON0301:中信行业|CI005024.WI:交通运输(中信)|ON03:行业
392989675,RBFI.WI:螺纹|ON0241:Wind商品|JJRI.WI:Wind煤焦钢矿|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|CCFI.WI:Wind商品,882417.WI:钢铁|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|ON0308:Wind行业分类|6215104050:钢铁|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|886012.WI:钢铁|3727:Wind主题行业|886010.WI:基本金属|CI005005.WI:钢铁(中信)|ON0301:中信行业|883107.WI:金属非金属(证监会)|ON0303:Wind证监会行业|ON03:行业
392990001,,
392997711,,
392985732,,
392985769,,6220102010:建筑产品|6220102000:建筑产品Ⅲ|6220100000:资本货物|6220000000:工业|6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|882421.WI:建筑产品|882208.WI:建筑产品Ⅲ|882102.WI:资本货物|882003.WI:工业|ON0308:Wind行业分类|882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|886016.WI:建筑|3727:Wind主题行业|CI005007.WI:建筑(中信)|ON0301:中信行业|883005.WI:建筑行业(证监会)|ON0303:Wind证监会行业|886011.WI:贵金属|886010.WI:基本金属|CI005003.WI:有色金属(中信)|883002.WI:采掘行业(证监会)|883107.WI:金属非金属(证监会)|ON03:行业
392985791,,
392985824,,6230302010:个人用品|6230302000:个人用品Ⅲ|6230300000:家庭与个人用品|6230000000:日常消费|882484.WI:个人用品|882236.WI:个人用品Ⅲ|882112.WI:家庭与个人用品|882005.WI:日常消费|ON0308:Wind行业分类|851244.SI:食品综合|801124.SI:食品加工|801120.SI:食品饮料(申万)|ON0302:申万行业|882481.WI:食品加工与肉类|882233.WI:食品|882111.WI:食品、饮料与烟草|886048.WI:日用化工|3727:Wind主题行业|886046.WI:食品|CI005019.WI:食品饮料(中信)|ON0301:中信行业|883003.WI:制造行业(证监会)|ON0303:Wind证监会行业|CI005009.WI:轻工制造(中信)|ON03:行业
392985829,,882510.WI:互联网软件与服务|882248.WI:互联网软件与服务Ⅲ|882119.WI:软件与服务|882008.WI:信息技术|ON0308:Wind行业分类|6245101010:互联网软件与服务|6245101000:互联网软件与服务Ⅲ|6245100000:软件与服务|6245000000:信息技术|886058.WI:互联网|3727:Wind主题行业|883007.WI:信息技术(证监会)|ON0303:Wind证监会行业|ON03:行业
392985765,7FsSKmhqsF:北京畅行信息技术有限公司|3783:非上市公司|ON02:公司,
392985873,000677.SZ:恒天海龙|ON0201:A股|000002.SH:上证A指|ON0209:沪深|000015.SH:上证红利|399324.SZ:深证红利|399100.SZ:深证新综指|399004.SZ:深证100R|399344.SZ:深证300R|399107.SZ:深证A指|ON02:公司,
392985898,,850936.SI:铁路设备|801076.SI:运输设备Ⅱ|801890.SI:机械设备(申万)|ON0302:申万行业|851721.SI:公交Ⅲ|801172.SI:公交Ⅱ|801170.SI:交通运输(申万)|ON03:行业
