INDUSTRY,HEAT
航空机场,3.681950480085887
石油开采Ⅱ,3.52884530716169
黑色家电Ⅱ,3.337630896143958
媒体,2.690618712769827
酒类,2.6495022600127003
白色家电Ⅱ,2.61993375280606
证券Ⅱ,2.342297326800302
其他化学制品Ⅱ,2.2400981968438085
专用机械,1.7537265239509632
化学纤维,1.7326926607336637
生物医药Ⅱ,1.67232950819455
种植业,1.4923164441769257
稀有金属Ⅱ,1.4923164441769257
计算机设备,1.4923164441769257
计算机软件,1.4923164441769257
煤炭开采洗选,1.395018904853662
汽车零部件Ⅱ,1.3850703787447634
全国性股份制银行Ⅱ,1.3138539062979122
保险Ⅱ,1.2872037137520418
房地产开发和运营,1.1861738371286512
小家电Ⅱ,1.1344727577733058
元器件,1.118466789805649
nan,1.1184033827998956
其他军工Ⅱ,0.9034638518481659
酒店及餐饮,0.9034638518481659
普钢,0.8207301106816978
增值服务Ⅱ,0.8015379227084644
工程机械Ⅱ,0.7743806708267345
电气设备,0.6909601992290217
食品,0.6909601992290217
通信设备,0.630824304864426
畜牧业,0.6258546293087621
其他钢铁,0.6012129479132022
建筑施工,0.6012129479132022
