INDUSTRY,HEAT
计算机,246.0460948878908
机械,226.766018233805
非银行金融,211.3572830542437
基础化工,206.22434091037124
银行,190.62041226771214
nan,190.5877017184311
综合,187.27561548912556
有色金属,160.5907653354886
电力设备及新能源,156.41211526281222
建筑,153.8829477447726
电子,153.50769206985157
汽车,141.7847779285329
消费者服务,135.2211055421668
医药,132.01695654694032
农林牧渔,128.32168905022507
煤炭,120.05352684504872
商贸零售,114.06182250867151
交通运输,111.9119061461702
房地产,111.8231908886472
通信,94.3441538840412
电力及公用事业,89.23595214860076
钢铁,85.66451705522715
石油石化,82.70166042487267
传媒,80.84545237226119
家电,77.34152234877297
国防军工,65.7388711995771
食品饮料,59.087304227306625
纺织服装,57.82302804023301
轻工制造,52.70599466253239
建材,41.56919257354675
